,open,high,low,close,volume,date,coin,SMA20,SMA200,varianza
0,8.864,8.925,8.765,8.915,249503.3826,2022-08-01 03:00:00+00:00,DOT/USD,,,0.00902527075812275
1,8.915,8.942,8.827,8.922,272896.3764,2022-08-01 04:00:00+00:00,DOT/USD,,,0.006449803701626485
2,8.922,8.941,8.724,8.75,308569.4078,2022-08-01 05:00:00+00:00,DOT/USD,,,0.012160950459538248
3,8.75,8.76,8.625,8.663,287916.5413,2022-08-01 06:00:00+00:00,DOT/USD,,,0.007714285714285702
4,8.663,8.824,8.613,8.81,863033.8108,2022-08-01 07:00:00+00:00,DOT/USD,,,0.012178229250836909
5,8.81,8.844,8.711,8.722,230090.32,2022-08-01 08:00:00+00:00,DOT/USD,,,0.0075482406356412665
6,8.722,8.755,8.664,8.679,345392.497,2022-08-01 09:00:00+00:00,DOT/USD,,,0.005216693418940672
7,8.679,8.684,8.42,8.429,591878.2917,2022-08-01 10:00:00+00:00,DOT/USD,,,0.015209125475285133
8,8.429,8.501,8.384,8.494,134239.9318,2022-08-01 11:00:00+00:00,DOT/USD,,,0.006940325068216817
9,8.494,8.535,8.378,8.392,325934.1779,2022-08-01 12:00:00+00:00,DOT/USD,,,0.009241817753708501
10,8.392,8.52,8.279,8.486,422587.3707,2022-08-01 13:00:00+00:00,DOT/USD,,,0.014358913250714948
11,8.486,8.594,8.456,8.563,327734.2576,2022-08-01 14:00:00+00:00,DOT/USD,,,0.008131039358944136
12,8.563,8.569,8.447,8.462,392435.2587,2022-08-01 15:00:00+00:00,DOT/USD,,,0.007123671610417007
13,8.462,8.475,8.303,8.31,303652.9122,2022-08-01 16:00:00+00:00,DOT/USD,,,0.010163082013708274
14,8.31,8.31,8.109,8.126,539103.2224,2022-08-01 17:00:00+00:00,DOT/USD,,,0.012093862815884506
15,8.126,8.201,8.085,8.185,456966.751,2022-08-01 18:00:00+00:00,DOT/USD,,,0.007137583066699462
16,8.185,8.216,8.145,8.191,448354.078,2022-08-01 19:00:00+00:00,DOT/USD,,,0.004337202199144761
17,8.191,8.24,8.153,8.225,593037.6264,2022-08-01 20:00:00+00:00,DOT/USD,,,0.005310706873397616
18,8.225,8.232,8.14,8.162,147562.3435,2022-08-01 21:00:00+00:00,DOT/USD,,,0.005592705167173176
19,8.162,8.246,8.027,8.223,432970.1005,2022-08-01 22:00:00+00:00,DOT/USD,8.48545,,0.013415829453565375
20,8.223,8.262,8.117,8.18,393675.8972,2022-08-01 23:00:00+00:00,DOT/USD,8.4487,,0.00881673355223152
21,8.18,8.274,8.108,8.123,173294.5566,2022-08-02 00:00:00+00:00,DOT/USD,8.408750000000001,,0.010146699266503582
22,8.123,8.179,7.939,7.969,270520.3896,2022-08-02 01:00:00+00:00,DOT/USD,8.3697,,0.014772867167302734
23,7.969,8.018,7.855,7.889,432870.7338,2022-08-02 02:00:00+00:00,DOT/USD,8.331,,0.010227130129250863
24,7.889,7.889,7.683,7.697,683098.6884,2022-08-02 03:00:00+00:00,DOT/USD,8.27535,,0.013056154138674128
25,7.697,7.772,7.679,7.77,1096191.7426,2022-08-02 04:00:00+00:00,DOT/USD,8.227749999999999,,0.006041314797973234
26,7.77,7.823,7.746,7.786,392091.3492,2022-08-02 05:00:00+00:00,DOT/USD,8.1831,,0.004954954954954953
27,7.786,7.87,7.777,7.83,348495.0152,2022-08-02 06:00:00+00:00,DOT/USD,8.15315,,0.005972257898792703
28,7.83,7.834,7.739,7.825,463995.0579,2022-08-02 07:00:00+00:00,DOT/USD,8.1197,,0.006066411238825016
29,7.825,7.828,7.743,7.775,388320.9737,2022-08-02 08:00:00+00:00,DOT/USD,8.088849999999999,,0.0054313099041533525
30,7.775,7.805,7.713,7.769,300337.7283,2022-08-02 09:00:00+00:00,DOT/USD,8.053,,0.005916398713826343
31,7.769,7.939,7.744,7.906,322534.2199,2022-08-02 10:00:00+00:00,DOT/USD,8.020150000000001,,0.012549877719140191
32,7.906,7.971,7.874,7.898,650442.6559,2022-08-02 11:00:00+00:00,DOT/USD,7.99195,,0.006134581330634987
33,7.898,7.912,7.761,7.801,295328.2089,2022-08-02 12:00:00+00:00,DOT/USD,7.966499999999999,,0.009559382122056205
34,7.801,7.885,7.783,7.829,456472.1252,2022-08-02 13:00:00+00:00,DOT/USD,7.951649999999999,,0.006537623381617705
35,7.829,8.072,7.75,8.052,716754.9701,2022-08-02 14:00:00+00:00,DOT/USD,7.945,,0.020564567633158715
36,8.052,8.097,7.917,8.005,651716.4719,2022-08-02 15:00:00+00:00,DOT/USD,7.9357,,0.011177347242920996
37,8.005,8.225,7.999,8.183,439830.0431,2022-08-02 16:00:00+00:00,DOT/USD,7.9336,,0.01411617738913179
38,8.183,8.197,7.972,8.011,283394.7385,2022-08-02 17:00:00+00:00,DOT/USD,7.926050000000001,,0.013748014175730097
39,8.011,8.074,7.937,7.946,337691.9713,2022-08-02 18:00:00+00:00,DOT/USD,7.9122,,0.008550742728747946
40,7.946,7.999,7.875,7.93,471230.0528,2022-08-02 19:00:00+00:00,DOT/USD,7.8997,,0.007802668009061142
41,7.93,7.998,7.919,7.978,254454.3505,2022-08-02 20:00:00+00:00,DOT/USD,7.892449999999999,,0.00498108448928125
42,7.978,8.025,7.88,8.017,188503.2982,2022-08-02 21:00:00+00:00,DOT/USD,7.89485,,0.009087490599147685
43,8.017,8.032,7.96,8.002,101990.1652,2022-08-02 22:00:00+00:00,DOT/USD,7.900499999999999,,0.004490457777223404
44,8.002,8.036,7.904,7.923,250284.0188,2022-08-02 23:00:00+00:00,DOT/USD,7.9117999999999995,,0.008247938015496104
45,7.923,7.972,7.68,7.725,650500.0534,2022-08-03 00:00:00+00:00,DOT/USD,7.90955,,0.01842736337245997
46,7.725,7.904,7.704,7.865,764162.6512,2022-08-03 01:00:00+00:00,DOT/USD,7.913500000000001,,0.01294498381877024
47,7.865,7.892,7.798,7.825,145520.021,2022-08-03 02:00:00+00:00,DOT/USD,7.91325,,0.005975842339478722
48,7.825,7.93,7.805,7.914,200777.7635,2022-08-03 03:00:00+00:00,DOT/USD,7.917700000000001,,0.007987220447284345
49,7.914,7.958,7.891,7.94,383842.9078,2022-08-03 04:00:00+00:00,DOT/USD,7.92595,,0.004233004801617398
50,7.94,8.004,7.91,7.981,1107158.3287,2022-08-03 05:00:00+00:00,DOT/USD,7.9365499999999995,,0.005919395465994925
51,7.981,8.046,7.981,8.019,1405051.2415,2022-08-03 06:00:00+00:00,DOT/USD,7.9422,,0.004072171407091812
52,8.019,8.022,7.963,7.987,968326.5061,2022-08-03 07:00:00+00:00,DOT/USD,7.94665,,0.0036787629380222076
